date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Labour force,Participation rate,Part-time employment,Full-time employment,Employment,Year-ended employment growth,Year-ended employment trend growth,Employment to population ratio,Unemployment,Unemployment rate,Unemployment rate trend,Hours worked,Hours worked trend,Year-ended hours worked trend growth,Average hours worked trend
2010-11-30,13.813,13.751,1768.886,110.728836220318,-0.0565740654850697,11764.1663555,65.8025737,3305.3548422,7857.7597657,11163.1146079,2.87925979050292,2.59418546271248,62.4406056,601.0517475,5.1091742,5.0720232,1571468.695854,1573456.7511835,3.35332438992297,32.4774875353724
2010-12-31,14.473,13.554,1777.851,110.984405396343,-0.65598223539339,11741.978245,65.601393,3313.9433478,7855.3919937,11169.3353415,2.58962559208789,2.53195406099154,62.4020878,572.6429035,4.8768861,5.0418922,1570253.277082,1576717.1508014,3.2425984177376,32.4907619663201
2011-01-31,12.349,13.339,1062.3,104.64813024126,-5.60353731080717,11792.00924,65.7805484,3336.3298279,7865.6762986,11202.0061265,2.42167704039926,2.44980638376182,62.4892748,590.0031134,5.0034146,5.0144539,1581312.32369,1578619.8797917,3.09114239840462,32.4934770259384
2011-02-28,12.36,13.097,1838.777,106.593213115359,-4.23058782250291,11761.0391882,65.5079898,3280.0165268,7896.2836953,11176.3002221,2.33932828593428,2.37943506731801,62.2510434,584.738966,4.9718308,4.9918153,1580355.844952,1579271.1402663,2.91271588463016,32.4830022133536
2011-03-31,13.493,12.892,2183.834,104.052619976913,3.62677859119622,11796.2720819,65.6044439,3283.7426075,7931.3924935,11215.135101,2.64920399475561,2.33437914468142,62.3724764,581.1369809,4.9264461,4.9786285,1581048.326335,1579306.2386808,2.69586103578854,32.4658375447668
2011-04-30,13.569,12.814,1591.319,105.305134847717,0.76454281553586,11766.0528236,65.3576249,3298.6390044,7883.8538603,11182.4928648,2.2396611943888,2.2811544816766,62.1160881,583.5599588,4.9596918,4.9850777,1554478.874101,1579003.8240894,2.42522004712797,32.4443058441905
2011-05-31,12.612,12.823,1885.645,103.935478960834,-1.78566477470951,11762.4234291,65.2589148,3336.5084022,7836.2330175,11172.7414197,2.13802578859246,2.20226905765382,61.9873094,589.6820094,5.0132697,5.0107231,1575152.161291,1579337.678102,2.14868481400194,32.4322493191831
2011-06-30,12.267,12.798,1807.65,101.197625030288,-1.27653508321225,11785.1207075,65.3063363,3298.3318885,7907.3619784,11205.6938668,1.93647739566825,2.06788674458274,62.0954872,579.4268407,4.9165966,5.0523536,1583371.249059,1580461.2396252,1.87953188405725,32.4314349594517
2011-07-31,12.642,12.706,1818.249,92.8481432677004,-3.45358542795842,11811.2089189,65.3722528,3325.5515457,7884.1308795,11209.6824252,1.73047648354814,1.86484634043,62.0429457,601.5264938,5.0928444,5.112924,1583720.860712,1582039.4339886,1.653348381609,32.4373839598602
2011-08-31,13.926,12.51,2419.996,89.6002164491244,-5.60207374922187,11842.7904582,65.4652268,3333.4598406,7885.2228917,11218.6827323,1.42628822749182,1.62601685816675,62.0152499,624.107726,5.2699381,5.1811249,1585350.544181,1583695.4484473,1.4579699249667,32.4413572146227
2011-09-30,12.352,12.255,1924.041,96.8864872365809,-1.40465671253648,11865.574524,65.5093912,3350.6514062,7895.337981,11245.9893872,1.43090668034296,1.38851445647432,62.0886849,619.5851367,5.2217036,5.2350521,1582425.521828,1584899.7232794,1.25789932465419,32.4356468991746
2011-10-31,11.46,11.955,1765.665,97.2475119183194,-2.86679313199616,11864.7847874,65.4059911,3332.8200688,7916.454493,11249.2745618,1.30409348373333,1.18129504252877,62.0129201,615.5102256,5.1877066,5.2627019,1593831.290939,1585718.7486229,1.04022256290448,32.4236288755699
2011-11-30,11.687,11.579,1792.205,103.352141501977,-1.98186836587254,11873.9414586,65.3576439,3370.2959042,7882.4956865,11252.7915906,0.8033329930747,1.02134736090636,61.9386535,621.1498679,5.231202,5.2583584,1586966.27059,1586486.3248244,0.82808590900891,32.4153556537549
2011-12-31,11.822,11.207,1571.993,94.7461003476085,-2.92222260249663,11847.5098291,65.1138566,3315.2630943,7916.5504472,11231.8135415,0.55937258654828,0.92656511004674,61.7299928,615.6962876,5.1968413,5.2249975,1589865.214097,1588084.7103435,0.7209637782098,32.4245738034178
2012-01-31,10.641,11.08,4801.321,97.0636455663774,-3.46275523547587,11909.8688878,65.3404058,3343.0256307,7965.6428897,11308.6685204,0.95217225107274,0.89943844877773,62.042076,601.2003674,5.0479176,5.182027,1590884.61021,1590235.2186325,0.7357907365472,32.4407762056022
2012-02-29,11.374,11.266,2328.4,101.091868049549,-1.08964408327047,11889.2111886,65.11152,3322.3751593,7949.5884151,11271.9635745,0.85594830578042,0.939784470952,61.7311502,617.2476141,5.1916616,5.1482364,1587282.347573,1592170.8011893,0.81681103352682,32.4434286551079
2012-03-31,11.607,11.635,1796.866,96.0725328797101,-0.57433654168311,11952.948617,65.3448074,3366.5118363,7966.8953276,11333.4071638,1.05457546195278,1.02843678891835,61.957876,619.5414531,5.1831684,5.1327586,1596181.594224,1593102.6934014,0.87357691514751,32.4160727887848
2012-04-30,10.829,12.068,1472.826,94.5403943894395,-3.33627133359593,11917.2941473,65.0580548,3376.5016006,7945.5364383,11322.0380389,1.24788967707958,1.1334338367103,61.8084745,595.2561084,4.9948931,5.139075,1595242.818893,1592965.0547491,0.88417966104366,32.3643433787478
2012-05-31,13.861,12.544,2778.386,95.277397734366,-6.87192189748294,11987.4480282,65.3489109,3377.0696863,7986.981954,11364.0516403,1.71229435474698,1.21274670103793,61.9504999,623.3963879,5.2004095,5.167214,1606142.1493,1591821.1033635,0.79042154408058,32.296920961534
2012-06-30,14.638,13.012,1844.899,95.5648536025001,-4.43796080073412,11955.8176751,65.0848722,3379.5794187,7959.0376666,11338.6170853,1.18621140359565,1.2481713238829,61.7249664,617.2005898,5.1623453,5.2056261,1578707.00975,1590192.5518595,0.61572609250498,32.2288524720976
2012-07-31,11.572,13.445,2086.366,99.1314707523244,-6.6378709028159,11968.8140614,65.0598325,3381.9147999,7966.6369453,11348.5517452,1.23883366836346,1.24289888204006,61.6882234,620.2623161,5.1823206,5.2442732,1588829.759945,1589176.6414928,0.45113967141805,32.183710884491
2012-08-31,12.88,13.782,2599.471,96.6159288989782,-1.9957941670775,11978.4968355,65.0168842,3382.4208079,7978.357262,11360.7780699,1.26659556198063,1.20852126594255,61.6640303,617.7187655,5.1568972,5.2788547,1587908.173122,1589350.7637222,0.3570961374199,32.1684415906178
2012-09-30,15.561,13.97,1594.892,98.1890616707212,-7.4244120110567,12051.3928311,65.316664,3366.880847,8023.0917869,11389.9726339,1.28030751001669,1.1836795684278,61.73187,661.4201972,5.4883299,5.3065108,1598034.592359,1591046.4202184,0.38782875968213,32.1805273391131
2012-10-31,14.122,13.936,2543.219,99.1622567862332,-8.88690539175736,12042.5993757,65.1794458,3352.738194,8038.3048953,11391.0430892,1.26024595293828,1.18924864465468,61.6529582,651.5562865,5.410429,5.3275726,1586286.469006,1593637.4498784,0.4993761511855,32.2025760463483
2012-11-30,14.004,13.741,2033.67,104.280799109,-9.43079334216405,12016.8547821,64.9509793,3369.4776839,8015.6662353,11385.1439192,1.176173285841,1.23360161747192,61.5365885,631.7108629,5.2568736,5.3526455,1600326.304945,1596121.3293882,0.60731721496978,32.2148171830975
2012-12-31,14.156,13.496,1614.623,100.033333930112,-9.04150802533836,12051.4452959,65.0488061,3391.8925439,8004.8677527,11396.7602966,1.46856742671648,1.29355721563598,61.5150824,654.6849993,5.432419,5.390834,1600716.459461,1598029.2972445,0.62620002801042,32.2109494330411
2013-01-31,11.844,13.236,2279.257,100.623415393708,-7.68728641038673,12123.4834926,65.3291061,3400.2497845,8069.8301306,11470.079915,1.42732448394634,1.33611372301585,61.8081485,653.4035776,5.3895696,5.4398274,1600374.55764,1599182.3647462,0.56263035863298,32.1931606241394
2013-02-28,12.894,13.101,2056.273,108.325910851938,-6.84036118295024,12122.6744718,65.2165733,3457.8034871,8010.9417294,11468.7452165,1.7457618692556,1.34077044673517,61.6986182,653.9292553,5.3942656,5.4951137,1602276.142435,1600181.0632399,0.50310318746059,32.1752562518077
2013-03-31,13.098,13.146,2648.693,110.537577594616,-11.2635901139982,12118.6139471,65.0869563,3441.6941689,7993.3811955,11435.0753644,0.8970665143377,1.29086799902336,61.4157901,683.5385828,5.6404023,5.5543679,1595455.79161,1601457.2749587,0.52442203455587,32.1707874174215
2013-04-30,14.669,13.38,2585.006,104.924216990023,-9.5169029231726,12146.183944,65.1501138,3443.9092059,8023.4197832,11467.3289892,1.28325792406643,1.20467280163314,61.5088486,678.8549548,5.589039,5.6062464,1607706.662023,1603362.7024882,0.6527229023701,32.1878347692825
2013-05-31,13.913,13.76,3173.307,97.5906992227922,-7.21942331609008,12138.5738445,65.0246453,3453.6521684,8003.9850375,11457.6372059,0.82352288217453,1.11250542483112,61.3769628,680.9366386,5.6096923,5.6452139,1605504.756736,1605661.4471913,0.8694660347545,32.2192903663978
2013-06-30,13.285,14.297,1693.153,102.18252999427,-12.1824084161273,12162.8703167,65.0702066,3477.0949057,7993.1217025,11470.2166081,1.16063115819136,1.03346085286207,61.3645748,692.6537086,5.6948211,5.672296,1603683.30399,1607894.8201642,1.11321539545635,32.2542935226718
